,Closing Price,LR Predicted,Ridge Predicted,Decision Tree Predicted,Lasso Predicted,ElasticNet Predicted
0,,168.1910818591329,168.19095869671733,168.61,167.46453663924754,167.4654474449334
1,,87.13774911078222,87.13785887723503,86.27,86.89026394497019,86.89159241969453
2,,131.26251096182017,131.26248853614965,131.65,131.52298103857427,131.52180175956227
3,,101.02703983257639,101.02710837281488,100.15,100.6867751965224,100.68744396721378
4,,92.390789252625,92.39088113458075,92.45,92.1847579881085,92.1848248622899
5,,116.66321310970476,116.66323712327,115.8,116.33526184010753,116.33604997138623
6,,87.95537188163527,87.95547650519008,88.0,87.74660387073271,87.74668663304318
7,,171.96402587493873,171.96388511815755,171.65,172.56860808365508,172.5667067059066
8,,98.1168093782071,98.11688472737738,97.75,97.731557405531,97.7315358743418
9,,50.90048031804051,50.90068826988286,50.8,51.36626648473049,51.365203869141084
10,,245.34718736075843,245.34683702042972,243.85,245.9988670653464,245.99725027044556
11,,122.42818888127346,122.42819771370564,123.05,122.11234754480999,122.11373335122067
12,,285.07476501350675,285.07429991780964,281.7,285.75675090451404,285.7547110372403
13,,105.79412350833103,105.79418037046858,106.3,105.3840783180284,105.38561929172774
14,,119.1724528125612,119.17247087101865,118.99,118.69375529721293,118.69506928827843
15,,127.09851942589817,127.09850728561581,127.7,127.71301145242815,127.7111570679795
16,,169.13313180610083,169.13299684503528,169.45,170.2862343883298,170.28339033097592
17,,151.78589124105417,151.78580403683887,150.75,153.77949647795364,153.77592822272064
18,,136.6416717415471,136.6416371480184,136.16,136.10141568891686,136.10155156104491
19,,141.97266488396832,141.97261354006775,141.46,141.82901641313273,141.828556782388
20,,185.58977884401207,185.58961123695775,189.7,186.03040121824307,186.03391778459772
21,,167.57440805928314,167.57428544922448,169.15,167.453915204685,167.45438432926446
22,,113.07485243662347,113.07488504323123,113.0,112.61532546781416,112.61533805614519
23,,104.44110800550082,104.44116605764434,104.45,104.06318928014845,104.06353495099202
24,,135.00587835882573,135.00584951706412,134.5,134.49577916429345,134.49639669182275
25,,142.2604684024792,142.2604176434776,141.2,142.15657136585162,142.15674841648757
26,,63.71375782322354,63.713930885781934,63.25,63.85449362386233,63.85418764827783
27,,86.09305676699395,86.09317320319538,81.4,85.7935007888876,85.79646456733764
28,,150.77799632245183,150.77792106028593,150.78,150.2987427979895,150.29881024380714
29,,113.83319818057466,113.83323092884099,114.1,113.50392972954484,113.50499851525667
30,,73.05938427527046,73.05952738742059,74.7,73.9096938930571,73.90808446496827
31,,96.81444452012317,96.81452403563021,96.4,96.45525011350757,96.45542774959141
32,,146.4398900916069,146.439828840475,146.63,145.95624483324863,145.9570200303788
33,,73.80902784860669,73.80917396030569,72.65,73.37078636696992,73.37126299753255
34,,141.8584004530892,141.8583516536578,141.6,141.53801279855065,141.5385149078642
35,,81.80105439139408,81.80117801262246,83.22,81.86064050697134,81.86138003411422
36,,229.6769257564705,229.6766304768244,231.35,228.9805945288497,228.9833013276427
37,,118.35839124831368,118.35841392363601,116.8,117.91760515027909,117.91994702416913
38,,58.9577049785358,58.9578921024659,59.25,58.90940701913699,58.90926527699705
39,,90.3754495476918,90.37554577298874,90.0,90.47064080890244,90.4701188449533
40,,237.18433099746494,237.18402276509156,237.65,236.1618471521938,236.16832280738427
41,,137.10879705478158,137.10876143816571,135.85,136.9427467588313,136.9430858629892
42,,49.424128462444834,49.4243442161213,49.5,49.28554997781665,49.28598387526034
43,,132.32181584382704,132.32179178890254,132.2,132.23927361836544,132.2386652856192
44,,79.37064100120196,79.37077198801276,78.74,79.0864715200068,79.08733422421878
45,,147.69508860639223,147.6950189154101,146.11,148.3017058483048,148.3004971367875
46,,137.2935250087629,137.29348804298502,140.5,136.873170988964,136.8731010714256
47,,145.2420301489248,145.24197151281118,145.37,144.64325446214943,144.6436455618027
48,,122.39697682178769,122.39698175239323,122.52,122.22672722839,122.22635297212017
49,,194.428636458737,194.42843537570155,194.6,194.11447059464558,194.11421431099956
50,,59.39167752274736,59.391863322138725,59.0,59.305153526692486,59.30496899680153
51,,117.2642026473242,117.26422880426695,117.04,116.80519948808619,116.80769362089984
52,,136.35879778791394,136.3587633833377,136.1,136.40734467205564,136.407300984339
53,,166.53980910126023,166.5396951901465,163.42,166.0534404980758,166.05641269470044
54,,113.67517523495458,113.67520612614177,113.85,113.2126673298456,113.21268128752193
55,,116.32017687733013,116.32020063998358,116.0,115.88193908236084,115.88215735025643
56,,163.55428094822219,163.55418282183533,161.0,161.5558515783972,161.5618051145241
57,,117.32229888926659,117.3223182182032,116.99,117.49855575980553,117.49817767875432
58,,148.17197997950365,148.17191299801638,148.81,147.59450443686845,147.59492024754974
59,,134.43842171094656,134.43839283436716,135.55,134.2071273146306,134.20704909604353
60,,107.60183973892987,107.60189113546808,107.2,106.85995532513071,106.8613124224605
61,,99.89089624540301,99.89096634254972,99.6,99.97868567319492,99.97866693973677
62,,132.24357746431116,132.24355525936411,130.95,132.1355353235279,132.1356496088926
63,,153.37386937325834,153.373793666155,153.35,152.812146866943,152.81532591935172
64,,145.10734372156435,145.10728953937948,144.4,144.81091256707407,144.81317282363636
65,,78.16372316202646,78.16385519809269,77.9,78.12649282633151,78.12632022731069
66,,171.09451694166955,171.09438619620346,169.85,170.46354510701397,170.46479986746806
67,,106.68955369956497,106.68960535011433,106.4,106.40779496306149,106.4081740960687
68,,224.5659898399669,224.56569337105094,223.23,226.51132593812585,226.50739662072303
69,,207.5475883331049,207.54734382109896,210.95,208.91470196628035,208.91211062184135
70,,137.4988172510498,137.49877154897845,142.25,138.9761895879536,138.9727934081762
71,,78.6222091520638,78.62234079196298,78.8,78.53976396459643,78.5399938483154
72,,167.68966044320712,167.68953465865638,168.95,167.52186104394747,167.5210506595144
73,,128.68840246971985,128.68838700500496,129.89,129.08523756925572,129.08389664187078
74,,148.93296153992333,148.93289245031488,148.65,148.74515741252398,148.74567026494836
75,,115.43095576433461,115.43098059309126,115.2,115.43824793248466,115.43787839793002
76,,127.59486401103017,127.59485690246517,127.04,127.21307531698307,127.21393988328185
77,,109.19749926230071,109.19754662936035,108.05,108.77144301431295,108.77309475068468
78,,169.12624521920742,169.1261142231961,168.55,169.5010845268979,169.49987447792003
79,,194.8785977665362,194.87839600788143,192.5,194.72540623687803,194.72545097854183
80,,126.44542509790058,126.44542063477861,127.8,126.47794174805146,126.4785861387758
81,,74.03645311507329,74.03659348833322,73.95,74.6855192101528,74.68390298262675
82,,121.65838722090653,121.65839524523535,121.9,121.2739844722762,121.27401175671403
83,,226.66965318225107,226.66936432362712,225.15,226.5696550335029,226.57148081128813
84,,135.96362196852925,135.96358809830568,136.3,135.83310906549403,135.83276833848998
85,,48.14242042587203,48.1426391635178,48.45,48.061202936828124,48.06133907882525
86,,183.71283504024865,183.7126657990361,182.55,182.9025512335125,182.90272494813982
87,,117.29712127574801,117.29714043490536,117.15,117.41895218730018,117.41845688258445
88,,109.18329940051011,109.18334534776811,109.45,108.91252495706385,108.9135496642948
89,,271.4260414230237,271.4256265775505,274.5,270.70009246205257,270.7028043808842
90,,112.00704208712688,112.0070769180981,112.25,111.97856209801411,111.97827358626975
91,,59.93189012038809,59.932075211891835,59.45,59.81016692367898,59.81035184645749
92,,115.84406205813191,115.84408558697619,115.55,115.65224464534609,115.65178977530618
93,,112.46704924446436,112.46708433555618,112.55,112.013428287503,112.01377423787021
94,,102.33679909568235,102.33686122148943,103.0,102.2120527496389,102.21156706932987
95,,121.72269965450701,121.72270167667598,121.15,122.75244845692737,122.75011061871875
