Date,Linear Predicted,Ridge Predicted,Decision Predicted,Lasso Predicted,ElasticNet Predicted,Closing Price
1980-09-03,126.4506038762225,126.45060131186565,126.56,126.06869629045892,126.07012706068409,127.25
1980-09-05,126.53960634433129,126.53959792754327,126.1,126.62891362258429,126.62792054145288,128.0
1980-09-10,137.51272458358386,137.51269103997333,136.98,136.94606750679543,136.94778383062018,135.63
1980-09-17,126.05461894721392,126.05461262793925,127.25,126.40644640184581,126.40581376330748,128.08
1980-09-18,127.20085592015269,127.20085007316612,127.91,126.81082437464671,126.81174700857743,127.9
1980-09-19,124.80843176163563,124.80842790517204,125.05,125.15505661093722,125.1539282765472,125.0
1980-10-01,128.02893785523844,128.02892757673928,130.25,128.09150083567656,128.0915782244918,126.5
1980-10-09,131.95825795452856,131.9582357443957,131.56,131.86633591622274,131.8660851913888,132.02
1980-10-10,132.32181584382704,132.32179178890254,132.2,132.23927361836544,132.2386652856192,132.79
1980-10-14,131.5243062646196,131.52428459443564,131.7,131.45685646192607,131.45629549317565,132.11
1980-10-27,128.5359217799862,128.53591190689423,127.49,128.04908308604854,128.04989932116223,128.98
1980-11-05,121.71002907472399,121.71003749060624,122.45,121.58481539436103,121.58512709581032,122.59
1980-11-11,108.96483041368309,108.96487675249756,107.8,108.57628380703181,108.57718414959469,108.3
1980-11-13,112.20360182092726,112.20363754514784,114.5,112.24053169767495,112.24090515356102,110.3
1980-11-18,108.51565305772678,108.51570764197682,104.2,108.27418523051497,108.27822115083367,110.0
1980-11-25,112.18434467376554,112.18437965803028,110.4,112.30051279794121,112.30054400055214,113.93
1980-12-02,114.0328813791002,114.03290870024071,114.9,114.18429149692949,114.18326988777112,114.38
1980-12-03,117.32229888926659,117.3223182182032,116.99,117.49855575980553,117.49817767875432,118.28
1980-12-05,116.76105814853551,116.76107814570138,116.99,116.95436092668271,116.95356570629174,117.13
1980-12-12,108.45637514494784,108.456426010115,109.1,108.03933055541232,108.04159859839685,108.25
1980-12-22,123.1365790874097,123.13658643576497,121.55,122.65845452867,122.66005694959469,123.5
1980-12-23,126.1133187272704,126.11331563760473,126.21,125.77380267818444,125.77457374332741,126.06
1981-01-05,130.50384331968178,130.50383181331858,128.8,130.05124023071383,130.05385211864393,131.7
1981-01-06,132.1808972660864,132.18087400992812,130.95,132.2292662558826,132.2288564010435,131.51
1981-01-12,132.12162321070082,132.1216031615454,131.1,131.71018684700692,131.71105813335757,131.65
1981-02-09,120.12724304798672,120.12725416688427,117.65,119.99213640830837,119.99162796983795,120.71
1981-02-27,120.33099912863975,120.33101293742371,119.7,119.93228362040985,119.93319470065241,121.0
1981-03-02,120.3177696216177,120.31778021041251,120.95,120.35334768613023,120.35287471578218,121.54
1981-03-04,121.27019406215723,121.27020302859314,120.9,120.89422225726422,120.89417501214037,120.65
1981-03-17,118.89585929921249,118.8958716324502,120.65,119.2869909861406,119.28553630546436,118.5
1981-03-27,126.5486605842833,126.5486548136542,126.36,126.24075190333888,126.24088717010007,126.62
1981-04-08,124.94719432714982,124.9471921790153,125.15,124.73649090227738,124.73621104039836,125.24
1981-04-14,123.15609357654023,123.15609858465328,123.05,122.91926254236209,122.91988395732517,123.99
1981-04-29,126.86885248907345,126.86884451099618,126.94,126.69376666315299,126.69334724648196,126.5
1981-04-30,125.8494420303168,125.84943696881824,125.99,125.60794234586993,125.6075102982516,126.48
1981-05-12,127.04635247253294,127.04634581161378,127.75,126.62721764725848,126.62757368689935,126.97
1981-05-14,122.83019920950046,122.83020209512853,123.45,122.80480973696292,122.80410018742243,122.73
1981-05-22,114.27845663381845,114.27848150247887,113.65,114.92231346300242,114.92059205719234,114.92
1981-05-27,118.35839124831368,118.35841392363601,116.8,117.91760515027909,117.91994702416913,119.0
1981-05-29,113.36035989655737,113.36038693339046,113.0,114.08208130791806,114.08016649229455,113.78
1981-06-04,103.51065437960796,103.51070822963904,104.05,104.69077969347828,104.68831508606668,102.82
1981-06-08,100.74622548675347,100.74628994033853,103.9,101.53230753844909,101.53097756915918,99.41
1981-06-11,98.66897916599251,98.66905146494688,97.25,99.52636918799047,99.52589839323429,100.0
1981-06-12,103.91953007285215,103.91959012580051,104.53,103.68915220469484,103.68974904604788,103.63
1981-06-16,94.35904534703933,94.35913204592599,94.7,94.23430699598597,94.23459080343257,93.25
1981-06-18,94.15188243911648,94.15196876204752,93.4,94.22818001771826,94.22806398823742,95.16
1981-06-22,89.89998129791005,89.90007536064081,89.15,90.80606521197272,90.80410281076615,89.13
1981-06-26,85.89017042554349,85.8902776449215,85.85,86.32944679601424,86.32815346085495,85.88
1981-06-30,92.30012750419462,92.30022438296297,92.9,92.14144178588668,92.14363436566948,93.62
1981-07-06,99.73305239081458,99.7331285602757,100.72,99.40367560564391,99.40609988320286,98.25
1981-07-09,98.66915668671638,98.6692344835698,98.9,98.29671240167127,98.2984946220179,96.83
1981-07-13,103.3139053867763,103.31396297337201,104.3,103.60649749602045,103.60530338203618,104.0
1981-07-15,101.67077067837184,101.67083989812241,101.8,101.28342171182842,101.28521077890152,101.62
1981-07-21,129.67069452332737,129.67069956958008,123.0,129.3842017972568,129.39317458874942,127.63
1981-07-30,121.56244215194842,121.56244571213557,125.15,122.96175632891075,122.95996250671632,120.83
1981-08-05,113.71888589661137,113.71891133784962,113.0,114.75475059445859,114.7526339704657,112.81
1981-08-21,113.07740483588151,113.07743833106889,112.85,112.93230596870363,112.93277152806701,112.43
1981-08-25,111.51509674107007,111.5151394032961,112.05,111.26366380521179,111.2662092131912,109.25
1981-09-04,109.94957052281725,109.94960842826117,109.2,110.5638816445169,110.562440046328,111.5
1981-09-15,116.22370642431419,116.22373147094336,116.1,115.75409735951878,115.75476087744127,116.08
1981-09-17,118.28563526259992,118.28565602767927,116.96,117.81200773487127,117.81339695273367,118.5
1981-09-22,122.5895124954855,122.58951360447978,122.95,123.40652770762664,123.40485617642976,121.32
1981-10-02,131.91276193161104,131.91274411035417,133.28,131.49793922212163,131.4995384953155,132.93
1981-11-18,147.75366787170356,147.75360238116414,148.1,147.30451840748185,147.3050864857581,147.15
1981-11-19,148.93296153992333,148.93289245031488,148.65,148.74515741252398,148.74567026494836,147.05
1981-11-24,139.74458967735433,139.74454162378976,139.85,140.44012712765598,140.43842519991787,139.66
1981-12-08,146.77423392144544,146.7741699148523,146.88,146.44997665782134,146.44997472711583,146.0
1981-12-11,146.95284786964254,146.95278884628502,147.0,146.34509119723103,146.34749855100708,148.0
1981-12-15,147.99968581004703,147.99961732036616,148.45,147.73704276928817,147.73661619154785,147.73
1981-12-29,139.43966317758264,139.43961988955218,139.4,139.17592074637614,139.17579883038138,139.35
1982-01-05,143.11483283217297,143.114780769634,143.0,142.68938420744377,142.69001895410878,143.22
1982-01-11,139.2806206552484,139.28058060311892,139.08,138.78892048840993,138.79000354242467,139.88
1982-01-14,137.42210582896212,137.42207045237714,137.35,136.87284015389827,136.87362386985004,137.57
1982-01-20,138.90241403915581,138.90237626388847,139.5,138.36359461242586,138.36520338452,139.59
1982-01-21,139.7908781667429,139.7908337564016,138.53,139.82519024193633,139.82506606104212,138.45
1982-01-26,142.3090777221223,142.30902881307708,142.08,141.83729996202777,141.83830495224566,143.04
1982-02-09,153.37386937325834,153.373793666155,153.35,152.812146866943,152.81532591935172,154.73
1982-02-12,159.03014459163137,159.0300408868463,159.8,159.67071582692859,159.668822024349,158.68
1982-02-17,158.89588099488128,158.8957841678494,158.6,158.41121700001156,158.41203838170992,158.33
1982-02-18,156.67722037957986,156.67712638295436,156.94,156.6082333756576,156.60754825440776,156.25
1982-02-19,152.94018027465512,152.94009444554982,153.85,153.5163097505476,153.51459800555628,152.03
1982-02-23,151.64130626241854,151.64122802820003,151.65,151.47751875240476,151.47741566891798,151.75
1982-02-24,154.37196832638,154.37188565659517,152.5,154.21120214964733,154.212613465618,156.13
1982-02-26,154.6954487609396,154.69536355654424,155.02,154.0693221981891,154.0699369992186,153.98
1982-03-05,159.21316635351326,159.21306686778266,159.65,158.7916493423495,158.79169895707514,159.32
1982-03-08,162.239874564559,162.23976844631548,160.65,161.63239175489926,161.63332118027336,161.75
1982-03-15,154.4465390099382,154.44645035392088,154.05,154.69204248037033,154.69094081234513,153.77
1982-03-17,142.94029699235813,142.94024184539163,142.0,143.12741059377115,143.12654506170352,144.83
1982-03-18,138.1474584931389,138.14741064277192,138.5,139.763450818939,139.75994798063385,137.5
1982-03-22,136.01787878451256,136.01784384065255,135.5,136.4197216482449,136.4190592142821,138.5
1982-03-25,127.23262598865334,127.23261601831477,127.0,127.69546162981376,127.6947237957412,125.96
1982-04-08,136.5305678729278,136.53053167101874,137.88,136.64827974618476,136.6476640364283,138.3
1982-04-20,130.48272661618984,130.48270897374667,131.6,130.44595689323955,130.4458678631375,131.93
1982-05-03,141.92026210428543,141.92021332676003,141.1,141.36799291173756,141.36854535588503,141.09
1982-05-05,139.36977457734088,139.36972981113422,139.27,139.3536870638868,139.35285611452102,140.37
